id,cluster,family,name,lane_at_entry,status,priority_tier,value_0_10,risk_0_10,falsification_cost_1_3,est_corr_with_baseline,sample,new_pnl_source_candidate,post_exposure_design,deferred_reason,notes
X01,C1,1,Commodity-sleeve futures transfer (matched-map arm),FULL,PROPOSED,1,8,3,2,">=0.9",databento_commodity_18,no,no,,"Continues KB hypothesis.tsmom.futures-transfer; first TSMOM trial on the Databento panel extends N_trials=14; reuse c1-drag-audit map D5 and carry roll/cost code with price-unit divisor"
X02,C1,1,Signal-price vs tradable-PnL construction truth,MEASUREMENT,PROPOSED,1,7,1,1,n/a,databento_commodity_18,no,no,,"Reconciliation identity: chained held-contract index PnL == contract dollar ledger"
X03,C1,1,Roll-rule sensitivity for trend (OI-max vs calendar),MEASUREMENT,PROPOSED,2,4,1,1,n/a,databento_commodity_18,no,no,,"Robustness only; A1 stays primary"
X04,C1,1,Financial-futures transfer (index/rates/FX),DEFERRED,PROPOSED,4,8,5,3,">=0.9",financial_futures_not_acquired,no,no,data_acquisition_decision_D1,"Hybrid structure: credit and REITs stay ETF; UUP->DX is ICE not GLBX"
X05,C1,12,Discrete-contract feasibility at account NAV,MEASUREMENT,PROPOSED,1,7,1,1,n/a,contract_specs_margin_tables,no,no,,"NAV bracket = decision D3; micro contracts; margin-to-equity"
X06,C2,2,Commodity breadth: 18 roots vs 4 ETFs,MEASUREMENT->FULL,PROPOSED,1,8,3,2,0.3-0.5,databento_commodity_18,yes,no,,"ENB / trend-PnL correlation premise; FULL at fixed ex-ante sleeve risk share"
X07,C2,2,Effective breadth of the current 17-asset book,MEASUREMENT,PROPOSED,1,6,1,1,n/a,etf_panel_published_streams,no,no,,"Diagnostic; no asset removal permitted on this basis"
X08,C2,2,Dropped-ETF trend-PnL independence,MEASUREMENT,PROPOSED,3,4,5,1,0.6-0.8,etf_panel_30,borderline,no,,"Inclusion only by pre-stated trend-PnL corr threshold; lead only"
X09,C2,2/9,Spread-trend on four predeclared spreads (TLT/SHY HYG/LQD EEM/SPY XLE/USO),MEASUREMENT->FULL,PROPOSED,2,7,5,1,0.1-0.4,etf_panel,yes,no,,"No pair may be added post hoc"
X10,C2,2,Global financial-futures breadth,DEFERRED,PROPOSED,4,6,4,3,0.3-0.6,financial_futures_not_acquired,yes,no,data_acquisition_decision_D1,"Breadth more likely in FX pairs and non-US rates than in more equity indices"
X11,C3,3,Speed-leg decomposition and leg-risk-balanced ensemble,MEASUREMENT->FULL,PROPOSED,1,8,3,1,"0.5-0.7 (fast leg)",etf_panel_then_futures,yes_fast_leg,yes,,"Robustness grid exposed {6,12}=0.87; correlation/overlap structure never exposed"
X12,C3,3,Fast-leg marginal contribution net of futures costs,FULL_futures_only,PROPOSED,3,4,4,2,n/a,databento_commodity_18,no,yes,,"Replication of an exposed ETF fact; never on the ETF panel"
X13,C3,17,Asset-class speed specialization,DEFERRED,PROPOSED,4,4,8,2,n/a,etf_panel,no,yes,overfitting_risk_highest_in_map,"X11 per-sleeve leg correlations answer most of it for free"
X14,C4,4,Trend-strength premise (|score| and |z12| deciles),MEASUREMENT,PROPOSED,2,6,3,1,">=0.9",etf_panel,no,no,,"Gates X15; shape decides mapping"
X15,C4,4,Bounded continuous sizing,FULL,PROPOSED,3,5,4,2,">=0.9",etf_panel_then_futures,no,no,conditional_on_X14,"One mapping only"
X16,C4,9,Estimator-family correlation (sign / EWMA-xover / slope t-stat / Donchian),MEASUREMENT,PROPOSED,1,7,2,1,0.8-0.95,etf_panel,no,no,,"Null = one family; four Sharpes become exposed"
X17,C4,10,Estimator ensemble (EW/median/majority) vs baseline,FULL,PROPOSED,3,5,3,2,">=0.9",etf_panel_then_futures,no,no,conditional_on_X16,"EW ensemble is the bar for any later complexity"
X18,C4,15,Path-efficiency (ER) conditioning,MEASUREMENT,PROPOSED,2,5,3,1,">=0.9",etf_panel_regime_panel,no,no,,"Trailing ER as conditioner; distinct from vol-breakout's post-move ER"
X19,C5,5,Acceleration and trend-age premise,MEASUREMENT,PROPOSED,2,6,6,1,">=0.9",etf_panel,no,no,,"Linear + terciles only; no splines"
X20,C5,5,Exhaustion after extreme acceleration,MEASUREMENT,PROPOSED,3,4,6,1,">=0.9",etf_panel,no,no,,"One tail cell in the X19 family"
X21,C6,6,Trend breadth predicts continuation,MEASUREMENT,PROPOSED,2,6,6,1,">=0.9",etf_panel_published_net,no,no,,"Episode jackknife ranked above significance; 8-cell family with X22/X23"
X22,C6,6,Signal dispersion / mixed-horizon disagreement state,MEASUREMENT,PROPOSED,3,4,5,1,">=0.9",etf_panel,no,no,,"Same family as X21"
X23,C6,6,Trend concentration (effective number of active trends),MEASUREMENT,PROPOSED,3,3,5,1,">=0.9",etf_panel,no,no,,"Same family as X21"
X24,C7,7,Long/short decomposition by sleeve,MEASUREMENT,PROPOSED,1,7,2,1,n/a,etf_panel_published_streams,no,no,,"5-cell family; crisis alpha is short-side"
X25,C7,7,Asymmetric short-side scaling in premium sleeves,FULL,PROPOSED,3,6,5,2,">=0.9",futures_or_forward_for_confirmation,no,yes,conditional_on_X24,"Crisis-retention gate >=70%"
X26,C8,8,Equal-sleeve risk vs equal-asset risk (paired),FULL,PROPOSED,2,5,2,1,">=0.95",etf_panel,no,yes,,"Symmetric structural variants only; null is the robustness win"
X27,C8,8,Cluster-based hierarchical risk budget,FULL,PROPOSED,3,3,5,2,">=0.95",etf_panel,no,no,same_family_as_X26,"Must beat equal-sleeve"
X28,C8,18,Static risk-premium blend for deployment,MEASUREMENT,PROPOSED,2,6,1,1,0.1-0.3,etf_panel_published_streams,yes_long_book,no,,"Allocation memo, not a strategy"
X29,C8,18,Dynamic allocation across validated sub-strategies,DEFERRED,PROPOSED,4,,,,,none,no,no,requires_two_validated_substrategies,"Equal / inverse-vol / capped inverse-vol only"
X30,C9,11,Execution-day robustness (T..T+3, mid-month),MEASUREMENT,PROPOSED,2,6,1,1,">=0.95",etf_daily_panel,no,no,,"No selection; dispersion is the statistic"
X31,C9,11,Tranched (staggered weekly) execution,FULL_lite,PROPOSED,2,5,2,2,">=0.95",etf_daily_panel,no,no,,"Single variant"
X32,C9,12,Contract-integer hysteresis band (futures-native),FULL,PROPOSED,2,6,3,2,">=0.95",databento_commodity_18,no,no,,"Two thresholds; distinct from the ETF 5%-of-NAV band"
X33,C9,12,Signal-path smoothing / sign-persistence confirmation,FULL,PROPOSED,2,4,5,2,">=0.95",etf_panel_then_futures,no,yes,,"Two variants; changes the signal path not trade suppression"
X34,C9,14,Event-triggered intra-month re-evaluation after -2 sigma move,MEASUREMENT->FULL,PROPOSED,2,5,5,1,">=0.9",etf_daily_panel,no,no,,"Targets crash-type losses directly"
X35,C10,13,Volatility-estimator type (60d / EWMA / blend / MAD),MEASUREMENT,PROPOSED,2,5,2,1,">=0.97",etf_panel,no,no,,"Judged by stability metrics never Sharpe"
X36,C10,13,Vol floor and per-asset cap interaction (SHY),MEASUREMENT,PROPOSED,3,3,1,1,">=0.97",etf_panel,no,no,,"One floor value"
X37,C11,14,Own-drawdown-state conditioning,MEASUREMENT,PROPOSED,3,5,7,1,">=0.9",etf_panel_published_net,no,no,,"12 episodes; jackknife mandatory"
X38,C11,14,Loss-clustering state,MEASUREMENT,PROPOSED,3,3,7,1,">=0.9",etf_panel_published_net,no,no,,"Same family as X37"
X39,C12,15,High-vol-regime conditioning per asset,MEASUREMENT,PROPOSED,3,3,3,1,">=0.9",etf_panel_regime_panel,no,no,,"Low expected value"
X40,C12,15,Cross-asset correlation state,DEFERRED,PROPOSED,4,3,8,,">=0.9",futures_or_forward_only,no,yes,post_exposure_inversion_of_crash_defense_result,"Admissible only on data the design never saw"
X41,C12,15,CFTC positioning / crowding (COT),DEFERRED,PROPOSED,4,5,5,3,">=0.9",cot_not_fetched,no,no,data_and_reserved_by_carry_prereg,"Futures-native; after Wave 1"
X42,C12,15,VIX / MOVE macro-uncertainty conditioning,DEFERRED,PROPOSED,4,2,6,,">=0.9",vix_move_not_fetched,no,no,closed_same_class_as_crash_defense_and_yield_curve,"Reopen only with a distinct mechanism"
X43,C13,16,Carry-trend agreement premise (2x2 sort),MEASUREMENT->FULL,PROPOSED,2,7,5,2,0.7-0.9,databento_commodity_18,borderline,no,,"Reserved by carry prereg §9; shared ledger with MR program"
X44,C13,16,Carry as tie-breaker for ambiguous trend,FULL,PROPOSED,3,4,4,2,">=0.9",databento_commodity_18,no,no,conditional_on_X43,"One rule"
X45,C14,diag,Hidden beta / static-premium decomposition of the core,MEASUREMENT,PROPOSED,1,7,1,1,n/a,etf_panel_published_streams,no,no,,"Static-book control; calibrates Section E"
X46,C14,diag,Convexity profile and crisis-alpha attribution,MEASUREMENT,PROPOSED,1,5,1,1,n/a,etf_panel_published_streams,no,no,,"Same family as X45"
