id,cluster,family,stage_split,name,lane_at_entry,first_test_exposure_class,design_lineage,status,priority_tier,value_0_10,risk_0_10,falsification_cost_1_3,est_corr_with_baseline,sample,new_pnl_source_candidate,deferred_or_pending,notes
X01,C1,1,,Commodity-sleeve futures transfer (matched-map arm),FULL,TARGET_PERFORMANCE_EXPOSURE (after seal only),KB hypothesis.tsmom.futures-transfer + c1 map D5,PROPOSED,1,8,3,2,">=0.9 (prior)",databento_commodity_18,no,,"Paired estimand; three outcome states; secondary arms = construction sensitivity (former X02b) and roll-rule sensitivity (former X03 performance arm); performance claim capped at supported in context T1; ledger appended per verified carry §10 convention"
X02,C1,1,a/b,Signal-input construction and tradable-PnL accounting truth,MEASUREMENT (X02a) / arm of X01 (X02b),PURE_MECHANICAL_VERIFICATION + DESIGN_INFORMING_MEASUREMENT (X02a),none,PROPOSED,1,7,1,1,n/a,databento_commodity_18,no,,"X02a: causal signal input fixed ex ante; dollar-ledger reconciliation identity; units; roll causality; sign-agreement rates; no return-series comparison. X02b: construction-sensitivity performance arm inside the sealed X01 contract. Invalid accounting inadmissible regardless of immateriality"
X03,C1,1,,Roll-rule structural diagnostics (pre-seal) and roll-rule performance arm (inside X01),MEASUREMENT (structural) / arm of X01 (performance),DESIGN_INFORMING_MEASUREMENT (pre-seal part),none,PROPOSED,2,4,1,1,n/a,databento_commodity_18,no,,"Pre-seal: roll dates, counts, OI-crossover timing, availability only. No delta-Sharpe before the X01 seal"
X04,C1,1,,Financial-futures transfer (index/rates/FX),DEFERRED,,none,PROPOSED,4,8,5,3,">=0.9 (prior)",financial_futures_not_established_as_owned,no,data_ownership_inventory_pending_D1,"Hybrid structure: credit and REITs stay ETF; UUP->DX is ICE not GLBX"
X05,C1,12,,Discrete-contract feasibility at account NAV,MEASUREMENT,DESIGN_INFORMING_MEASUREMENT,none,PROPOSED,1,7,1,1,n/a,contract_specs_margin_tables,no,NAV_bracket_D3,"Not a performance trial"
X06,C2,2,,Commodity breadth: expanded 18-root futures universe vs matched futures subset,MEASUREMENT->FULL,TARGET_PERFORMANCE_EXPOSURE (per-root trend-PnL streams),none,PROPOSED,1,8,3,2,0.3-0.5 (prior),databento_commodity_18,yes,,"Principal control = matched futures subset under identical dates/construction/risk/sleeve budget; ETF comparison secondary"
X07,C2,2,,Effective breadth of the current 17-asset book,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (new statistics of published streams),T0 published inputs,PROPOSED,1,6,1,1,n/a,etf_panel_published_streams,no,,"Diagnostic; no asset removal permitted on this basis; calibrates priors for same-stream candidates only"
X08,C2,2,,Dropped-ETF trend-PnL independence,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (13 candidate streams),none,PROPOSED,3,4,5,1,0.6-0.8 (prior),etf_panel_30,borderline,,"Inclusion by correlation is design selection; all candidates and the decision recorded; lead only"
X09,C2,2/9,route A or B,Spread-trend on four predeclared spreads (TLT/SHY HYG/LQD EEM/SPY XLE/USO),X09_ROUTE_PENDING_AARON,A: DESIGN_INFORMING_MEASUREMENT (structural overlap screen); B: TARGET_PERFORMANCE_EXPOSURE,none,PROPOSED,2,7,5,1,0.1-0.4 (prior),etf_panel,yes,X09_ROUTE_PENDING_AARON,"Executable spread definitions precede any performance test; structural screen establishes no alpha; family = composite + 4 per-spread + marginal claims"
X10,C2,2,,Global financial-futures breadth,DEFERRED,,none,PROPOSED,4,6,4,3,0.3-0.6 (prior),financial_futures_not_established_as_owned,yes,data_ownership_inventory_pending_D1,"Breadth more likely in FX pairs and non-US rates"
X11,C3,3,a/b,Speed-leg structural decomposition (X11a) and leg-risk-balanced ensemble (X11b),MEASUREMENT (X11a) / FULL (X11b),TARGET_PERFORMANCE_EXPOSURE (four sub-strategy streams),ROBUSTNESS_GRID_INFORMED,PROPOSED,1,8,3,1,"0.5-0.7 fast leg (prior)",etf_panel_then_futures,yes_fast_leg,,"X11a exposure is dependent evidence for X11b, never independent; build gate applies before X11b"
X12,C3,3,,Fast-leg marginal contribution net of futures costs,FULL_futures_only,TARGET_PERFORMANCE_EXPOSURE,ROBUSTNESS_GRID_INFORMED,PROPOSED,3,4,4,2,n/a,databento_commodity_18,no,,"Replication of an exposed ETF fact; context T1, dependent"
X13,C3,17,,Asset-class speed specialization,DEFERRED,,ROBUSTNESS_GRID_INFORMED,PROPOSED,4,4,8,2,n/a,etf_panel,no,overfitting_risk_highest_in_map,"X11a per-sleeve leg correlations answer most of it"
